model,model_name,class,precision,recall,f1,support
tfidf_word_logreg,TF-IDF word LR,negative,0.6278242917765798,0.6990167283871792,0.6615105740181269,7831
tfidf_word_logreg,TF-IDF word LR,neutral,0.6390352093152204,0.6321129850541616,0.6355552491900461,7293
tfidf_word_logreg,TF-IDF word LR,positive,0.7276555919513337,0.6461218836565097,0.6844692245616609,7220
tfidf_char_logreg,TF-IDF char LR,negative,0.6299733209604454,0.693525731068829,0.6602236810114271,7831
tfidf_char_logreg,TF-IDF char LR,neutral,0.6300014138272303,0.610996846290964,0.6203536126966449,7293
tfidf_char_logreg,TF-IDF char LR,positive,0.7006015037593984,0.6452908587257618,0.6718096611391492,7220
tfidf_char_svm,TF-IDF char SVM,negative,0.6303001429252024,0.675775762993232,0.6522462562396006,7831
tfidf_char_svm,TF-IDF char SVM,neutral,0.6283455831368743,0.6212806801042096,0.6247931605074463,7293
tfidf_char_svm,TF-IDF char SVM,positive,0.6970461629805551,0.650415512465374,0.6729239807981658,7220
cnn_lstm_bpe,CNN-LSTM BPE,negative,0.558087411281285,0.7631209296386158,0.6446949673660931,7831
cnn_lstm_bpe,CNN-LSTM BPE,neutral,0.6617395029991431,0.4235568353215412,0.5165119973246384,7293
cnn_lstm_bpe,CNN-LSTM BPE,positive,0.6413605051664754,0.6189750692520776,0.6299689878770792,7220
