model,model_name,language,accuracy,precision_weighted,recall_weighted,f1_weighted
tfidf_word_logreg,TF-IDF word LR,amh,0.5276752767527675,0.5315623490067809,0.5276752767527675,0.5235954760515942
tfidf_word_logreg,TF-IDF word LR,arq,0.5963149078726968,0.5791356548619598,0.5963149078726968,0.5854847018378206
tfidf_word_logreg,TF-IDF word LR,ary,0.6444814198557959,0.6462912704197096,0.6444814198557959,0.6402168404765775
tfidf_word_logreg,TF-IDF word LR,hau,0.7268248992386923,0.7300129063050653,0.7268248992386923,0.7280425005611127
tfidf_word_logreg,TF-IDF word LR,ibo,0.7583785509096712,0.7596806418932068,0.7583785509096712,0.7577048971732315
tfidf_word_logreg,TF-IDF word LR,kin,0.5553488372093023,0.5590789362074395,0.5553488372093023,0.5558278123680988
tfidf_word_logreg,TF-IDF word LR,orm,0.4623015873015873,0.4489150940797382,0.4623015873015873,0.44359071896361335
tfidf_word_logreg,TF-IDF word LR,pcm,0.6896713615023474,0.6637683811742116,0.6896713615023474,0.6635238961264663
tfidf_word_logreg,TF-IDF word LR,por,0.6028552887735237,0.579259453216422,0.6028552887735237,0.5697576345221563
tfidf_word_logreg,TF-IDF word LR,swa,0.5188834154351396,0.48688678302219845,0.5188834154351396,0.473791339568347
tfidf_word_logreg,TF-IDF word LR,tir,0.6333333333333333,0.6142325410049001,0.6333333333333333,0.6177713357998459
tfidf_word_logreg,TF-IDF word LR,tso,0.3920704845814978,0.42204961743565966,0.3920704845814978,0.40257027551133584
tfidf_word_logreg,TF-IDF word LR,twi,0.6178010471204188,0.6018753524227108,0.6178010471204188,0.6078101821397696
tfidf_word_logreg,TF-IDF word LR,yor,0.7109668602664845,0.7066139869787806,0.7109668602664845,0.7076571221921731
tfidf_char_logreg,TF-IDF char LR,amh,0.536636794939378,0.5322428677906436,0.536636794939378,0.5275153013677911
tfidf_char_logreg,TF-IDF char LR,arq,0.6231155778894473,0.6106998445533518,0.6231155778894473,0.6152343516063525
tfidf_char_logreg,TF-IDF char LR,ary,0.6167498613422074,0.6153009709996998,0.6167498613422074,0.6144341585335568
tfidf_char_logreg,TF-IDF char LR,hau,0.725705329153605,0.7267331353395656,0.725705329153605,0.7261527557008028
tfidf_char_logreg,TF-IDF char LR,ibo,0.7535908075327162,0.7541648925592985,0.7535908075327162,0.7515299764819904
tfidf_char_logreg,TF-IDF char LR,kin,0.5609302325581396,0.5632499903010181,0.5609302325581397,0.5611945289886358
tfidf_char_logreg,TF-IDF char LR,orm,0.4126984126984127,0.4068432467254251,0.4126984126984127,0.4050056621242934
tfidf_char_logreg,TF-IDF char LR,pcm,0.6633802816901408,0.6366575435570865,0.6633802816901408,0.6403769219653483
tfidf_char_logreg,TF-IDF char LR,por,0.5794938351719663,0.5443695855118971,0.5794938351719663,0.5446657048124915
tfidf_char_logreg,TF-IDF char LR,swa,0.535303776683087,0.49263978521745144,0.535303776683087,0.4934204486495616
tfidf_char_logreg,TF-IDF char LR,tir,0.575,0.5573645978215122,0.575,0.5609420606854018
tfidf_char_logreg,TF-IDF char LR,tso,0.3920704845814978,0.43552865535078156,0.3920704845814978,0.40363876169739754
tfidf_char_logreg,TF-IDF char LR,twi,0.6345549738219896,0.6208600668750527,0.6345549738219896,0.6257049678001059
tfidf_char_logreg,TF-IDF char LR,yor,0.6928595831909805,0.6862827560321227,0.6928595831909805,0.6864710143729383
tfidf_char_svm,TF-IDF char SVM,amh,0.5266209804955192,0.5218814559368584,0.5266209804955192,0.5204064697316313
tfidf_char_svm,TF-IDF char SVM,arq,0.6214405360134003,0.6172972466608198,0.6214405360134003,0.6190630869881861
